"kelime","anlam"
"israf","gereğinden fazla harcama"
"ayn-ı hakikat","gerçeğin ta kendisi"
"Kur'ân-ı Hakîm","her bir âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"kelâm-ı ezelî","ezelî söz, bütün zamanları kapsayan Allah'ın sözü; Kur'ân"
"tabakat-ı beşer","insan tabakaları, sınıfları"
"hasebiyle","özelliğiyle, cihetiyle"
"câmiiyet","kapsamlılık, genişlik"
"külliyet-i harika","bahsettiği konunun bütün fertlerini içine alan harika bir kapsamlılık"
"lisan","dil"
"lâfz","ifade, söz"
"cüz'î","küçük, ferdî"
"misillü","gibi, benzeri"
"muhît","kapsamlı, kuşatıcı"
"nazar","bakış açısı"
"kelâm-ı ezelî","ezelî söz, bütün zamanları kapsayan Allah'ın sözü; Kur'ân"
"tâife-i insaniye","insan taifesi, topluluğu"
"nazar","dikkate almak"
"külliyet","bütünlük, kapsamlılık"
"kelâm-ı İlâhî","Allah'ın kelâmı, konuşması"
"beşer","insanlar"
"kelâm","ifade, söz"
"cüz'î","küçük, ferdî"
"hususi","özel"
"münhasır","ait, mahsus, sınırlı"
"tefsir","Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap, eser"
"sarahat","açıklık"
"remiz","gizli bir mânâyı ince bir işaretle gösterme"
"îma","gizli ve ince bir mânâyı işaret etme, gösterme"
"telvih","dolaylı anlatım; asıl mânâ ile kinâye yoluyla kastedilen mânâ arasındaki vesilelerin çok olması durumu"
"telmih","imalı söz söyleme; bir ibarede geçmeyen bir kıssaya, fıkraya, atasözüne veya meşhur bir şiire, bir söze işaret etme"
"müfessirîn","müfessirler, tefsirciler, Kur'ân'ı açıklayıp yorumlayan âlim kimseler"
"beyan","açıklamak"
"kavaid-i Arabiye","Arapça dilbilgisi kuralları"
"usul-ü nahv","Arapça dil bilgisinde, cümle kurgusunu inceleyen bilim dalının kuralları"
"usul-ü din","dinin usulü, temel prensipleri; din metodolojisi"
"muhalif","aykırı, zıt"
"murad","irade edilen, istenen"
"maksud","kast edilen, hedeflenen şey"
"Tahirî","bk. Tahirî Mutlu"
"Zübeyir","(1920 - 1971) Risale-i Nur'u tanıdıktan sonra bütün mesaisini bu hizmete vakfeden, bu uğurda pek çok defa hapse atılan ve Üstad Bediüzzaman'ın vefatından sonra talebeler arasında birliği sağlamak için ciddi fedakârlıklarda bulunan Bediüzzaman'ın bir talebesi; bk. Zübeyir Gündüzalp"
"Sungur","bk. Mustafa Sungur"
"Ziya","bk. Ziya Sönmez"
"Ceylân","bk. Ceylân Çalışkan"
"Bayram","bk. Bayram Yüksel"
"İfadetü'l-Meram","maksadın ifadesi, söylenmesi"
"Kur'ân-ı Azîmüşşan","şan ve şerefi yüce olan Kur'ân"
"nev-i beşer","insanlar, insanlık türü"
"hitaben","hitap ederek, seslenerek"
